n_uni_tokens,n_bpe_tokens,n_chars,n_lines,valid_uni_chunk,valid_bpe_chunk
95,101,315,7,False,False
94,97,315,7,False,False
95,98,331,7,False,False
100,96,316,7,False,False
91,95,316,7,False,False
90,87,307,7,False,False
97,98,336,7,False,False
95,95,332,7,False,False
111,107,349,7,False,False
103,99,324,7,False,False
92,89,308,7,False,False
100,101,333,7,False,False
87,88,314,7,False,False
92,92,324,7,False,False
99,102,314,7,False,False
106,107,330,7,False,False
101,101,316,7,False,False
96,98,320,7,False,False
98,98,320,7,False,False
87,86,318,7,False,False
94,93,310,7,False,False
91,99,324,7,False,False
87,90,311,7,False,False
94,93,305,7,False,False
94,91,307,7,False,False
97,94,321,7,False,False
90,87,331,7,False,False
91,94,327,7,False,False
90,92,309,7,False,False
97,91,315,7,False,False
92,98,329,7,False,False
87,92,315,7,False,False
95,97,318,7,False,False
92,94,308,7,False,False
90,90,304,7,False,False
90,91,301,7,False,False
172,175,591,14,True,True
93,92,305,7,False,False
100,99,328,7,False,False
101,109,318,7,False,False
93,92,300,7,False,False
97,98,329,7,False,False
90,94,322,7,False,False
92,96,305,7,False,False
94,94,326,7,False,False
105,102,319,7,False,False
79,81,308,7,False,False
91,91,326,7,False,False
101,101,344,7,False,False
97,98,335,8,False,False
89,93,318,7,False,False
85,87,306,7,False,False
93,93,305,8,False,False
97,97,329,8,False,False
88,86,317,6,False,False
95,97,342,9,False,False
89,94,335,8,False,False
96,97,316,9,False,False
86,91,313,7,False,False
85,89,308,8,False,False
87,87,305,7,False,False
91,91,309,8,False,False
83,86,310,8,False,False
93,94,317,8,False,False
98,99,348,8,False,False
86,89,302,7,False,False
96,97,321,8,False,False
80,78,320,6,False,False
97,99,334,8,False,False
93,95,340,8,False,False
95,103,359,8,False,False
78,86,313,6,False,False
93,95,340,6,False,False
96,96,315,6,False,False
84,86,304,7,False,False
94,98,360,7,False,False
86,86,308,5,False,False
82,84,314,5,False,False
88,91,351,6,False,False
99,98,352,6,False,False
