n_uni_tokens,n_bpe_tokens,n_chars,n_lines,valid_uni_chunk,valid_bpe_chunk
179,192,643,15,True,True
185,188,662,15,True,True
174,183,643,15,True,True
176,183,619,15,True,True
169,176,652,15,True,True
185,187,646,15,True,True
179,176,615,15,True,True
193,192,678,15,True,True
193,190,653,15,True,True
174,181,652,15,True,True
194,198,713,15,True,True
188,192,659,15,True,True
176,177,639,15,True,True
181,183,625,15,True,True
176,180,649,15,True,True
164,167,634,15,True,True
188,188,679,15,True,True
186,186,658,15,True,True
194,204,664,15,True,True
192,193,679,15,True,True
191,191,648,15,True,True
186,186,629,15,True,True
187,192,655,15,True,True
195,194,676,15,True,True
164,170,619,15,True,True
179,181,636,15,True,True
188,190,627,15,True,True
186,185,665,15,True,True
191,195,669,15,True,True
189,195,647,15,True,True
175,182,635,15,True,True
197,196,665,15,True,True
188,190,649,15,True,True
189,193,669,15,True,True
180,182,620,15,True,True
178,173,633,15,True,True
186,188,619,15,True,True
174,180,652,15,True,True
177,176,650,15,True,True
183,190,668,15,True,True
178,182,642,15,True,True
195,195,662,15,True,True
186,183,678,15,True,True
177,181,663,15,True,True
177,176,629,15,True,True
188,189,643,15,True,True
183,183,662,15,True,True
184,180,638,15,True,True
178,179,641,15,True,True
179,178,635,15,True,True
186,190,660,15,True,True
173,175,638,15,True,True
169,172,615,15,True,True
193,195,657,15,True,True
184,187,651,15,True,True
188,193,656,15,True,True
178,176,646,15,True,True
175,179,642,15,True,True
172,168,623,15,True,True
194,198,651,15,True,True
178,181,636,15,True,True
185,192,607,15,True,True
185,185,645,15,True,True
181,186,635,15,True,True
183,188,659,15,True,True
168,173,602,15,True,True
165,176,628,15,True,True
175,182,610,15,True,True
183,186,700,15,True,True
175,181,641,15,True,True
178,184,632,15,True,True
173,178,634,15,True,True
199,201,673,15,True,True
176,178,627,15,True,True
181,185,626,15,True,True
177,175,612,15,True,True
174,182,657,15,True,True
174,177,610,15,True,True
174,176,630,15,True,True
184,187,629,15,True,True
181,186,662,15,True,True
182,187,645,15,True,True
178,179,641,15,True,True
179,178,648,15,True,True
193,184,671,15,True,True
182,179,639,15,True,True
188,191,664,15,True,True
177,179,630,15,True,True
180,180,644,15,True,True
192,192,642,15,True,True
187,189,666,15,True,True
176,181,618,15,True,True
186,192,665,15,True,True
187,188,650,15,True,True
189,187,650,15,True,True
183,187,662,15,True,True
