n_tokens,n_chars,n_lines,valid_chunk
183,631,14,True
180,648,14,True
171,624,14,True
180,669,14,True
195,674,14,True
168,604,14,True
174,648,14,True
173,639,14,True
186,647,14,True
177,641,14,True
171,629,14,True
171,636,14,True
170,613,14,True
172,653,14,True
174,637,14,True
174,645,14,True
174,634,14,True
171,613,14,True
253,903,21,True
189,647,14,True
172,630,14,True
166,628,14,True
181,646,14,True
166,635,14,True
186,633,14,True
169,625,14,True
186,638,16,True
156,602,13,True
172,607,16,True
173,628,15,True
183,624,16,True
171,623,16,True
168,620,14,True
171,623,15,True
156,616,13,True
159,605,14,True
174,654,12,True
182,620,13,True
172,637,11,True
167,629,11,True
165,622,10,True
151,657,11,True
160,652,10,True
162,611,10,True
154,601,9,True
163,651,11,True
154,611,9,True
152,608,10,True
152,614,10,True
248,991,15,True
158,614,14,True
163,613,14,True
174,613,16,True
170,618,15,True
164,615,15,True
170,638,15,True
176,639,14,True
163,615,14,True
165,617,14,True
169,664,16,True
176,620,15,True
175,629,15,True
158,608,15,True
173,609,16,True
181,623,15,True
172,625,15,True
168,640,15,True
161,606,15,True
176,604,15,True
187,860,16,True
150,608,9,True
170,642,10,True
181,610,13,True
171,634,10,True
178,622,10,True
179,646,11,True
169,627,12,True
181,624,12,True
162,604,10,True
163,603,11,True
175,621,12,True
173,615,11,True
179,635,14,True
156,604,9,True
165,634,14,True
171,630,16,True
379,1342,29,True
366,1304,20,True
138,606,13,True
174,627,17,True
165,623,15,True
158,625,14,True
164,641,14,True
161,611,15,True
162,612,15,True
167,602,15,True
169,619,13,True
177,626,15,True
166,606,16,True
171,640,13,True
170,606,13,True
164,627,13,True
172,629,13,True
168,605,16,True
172,636,15,True
169,604,16,True
173,650,16,True
176,604,14,True
177,633,14,True
270,972,17,True
209,760,18,True
272,1021,23,True
190,664,14,True
173,639,12,True
199,655,13,True
189,637,12,True
282,998,21,True
171,621,11,True
170,607,10,True
166,623,10,True
192,714,16,True
165,629,15,True
183,633,15,True
176,624,14,True
192,637,14,True
181,649,14,True
177,601,14,True
161,606,15,True
189,639,15,True
175,620,13,True
164,625,14,True
178,637,14,True
167,613,15,True
183,652,15,True
172,639,15,True
173,635,12,True
185,602,12,True
176,629,11,True
176,609,10,True
197,661,13,True
186,623,12,True
198,660,10,True
181,642,10,True
218,787,18,True
150,647,14,True
159,631,10,True
163,630,10,True
146,611,9,True
170,660,10,True
426,1538,32,True
120,610,13,False
182,664,11,True
203,653,10,True
182,612,11,True
189,636,10,True
307,1054,16,True
182,652,13,True
158,633,12,True
179,642,14,True
163,609,13,True
179,621,15,True
157,609,14,True
170,631,14,True
183,636,15,True
176,626,13,True
170,645,13,True
165,633,13,True
428,1655,40,True
256,908,20,True
156,621,15,True
172,627,14,True
175,646,14,True
178,642,15,True
162,601,13,True
180,637,16,True
162,607,13,True
162,632,14,True
151,609,10,True
156,603,15,True
322,1141,27,True
197,743,17,True
121,619,12,False
158,613,13,True
166,623,13,True
173,641,14,True
165,613,14,True
169,601,13,True
176,631,13,True
170,612,16,True
167,604,12,True
184,646,15,True
199,642,16,True
176,627,15,True
165,612,15,True
174,643,16,True
164,607,14,True
367,1282,28,True
165,614,15,True
161,602,14,True
174,623,14,True
223,799,21,True
163,623,15,True
159,647,16,True
175,633,14,True
170,631,15,True
170,613,14,True
183,621,14,True
187,627,15,True
169,625,13,True
168,630,13,True
167,626,15,True
167,619,14,True
180,618,14,True
170,626,14,True
177,607,15,True
184,643,14,True
535,1765,43,True
141,696,13,True
176,645,13,True
163,609,14,True
174,635,14,True
179,645,15,True
177,630,16,True
175,648,14,True
169,603,14,True
169,618,15,True
169,626,14,True
181,614,15,True
178,631,14,True
177,649,15,True
166,627,14,True
191,639,15,True
173,629,14,True
171,618,14,True
163,603,14,True
179,624,14,True
163,609,15,True
178,601,14,True
182,636,14,True
179,632,12,True
196,655,14,True
183,630,15,True
182,634,14,True
179,644,16,True
189,639,13,True
187,603,14,True
168,616,13,True
175,627,14,True
182,609,15,True
172,611,15,True
177,612,15,True
188,630,15,True
183,623,14,True
168,617,13,True
188,614,15,True
158,650,15,True
165,634,12,True
141,611,10,True
156,607,11,True
202,983,18,True
202,760,25,True
164,617,14,True
176,628,13,True
162,615,13,True
165,614,14,True
170,618,13,True
166,625,14,True
185,612,13,True
169,622,14,True
171,637,14,True
164,610,14,True
170,619,13,True
171,606,12,True
225,893,19,True
200,731,15,True
348,1317,29,True
418,1395,30,True
175,700,19,True
182,864,18,True
182,639,13,True
185,658,14,True
152,609,13,True
185,631,14,True
171,611,14,True
175,638,14,True
169,602,14,True
156,602,13,True
162,620,13,True
173,609,16,True
163,628,13,True
175,612,12,True
179,657,12,True
190,659,10,True
170,601,9,True
176,656,12,True
169,619,15,True
159,614,14,True
168,642,14,True
174,609,16,True
158,608,13,True
173,611,13,True
177,624,14,True
177,640,14,True
375,1301,29,True
148,624,17,True
316,1056,23,True
177,686,15,True
157,607,13,True
178,645,14,True
180,664,14,True
178,642,13,True
164,612,15,True
183,634,14,True
120,620,11,False
162,623,13,True
169,629,14,True
170,652,14,True
153,602,13,True
158,618,13,True
175,644,14,True
191,740,16,True
184,654,16,True
179,629,12,True
178,626,11,True
188,614,13,True
185,637,15,True
194,611,15,True
186,602,13,True
188,665,11,True
175,647,11,True
166,628,13,True
167,627,13,True
181,662,13,True
169,605,15,True
195,634,18,True
164,608,14,True
158,609,13,True
163,652,13,True
167,627,12,True
179,636,13,True
170,632,13,True
181,625,13,True
166,620,13,True
174,627,13,True
159,627,13,True
154,606,13,True
155,602,13,True
154,606,13,True
153,611,13,True
159,742,14,True
164,617,13,True
158,614,13,True
188,646,13,True
164,626,13,True
177,634,14,True
173,648,13,True
171,623,15,True
152,608,13,True
171,623,14,True
168,617,13,True
175,643,14,True
189,622,13,True
187,619,16,True
164,620,12,True
172,621,15,True
160,636,14,True
169,604,13,True
170,629,14,True
169,645,14,True
168,620,14,True
172,628,13,True
241,942,20,True
155,654,12,True
165,634,12,True
166,609,13,True
158,608,13,True
489,1689,40,True
151,605,14,True
357,1224,24,True
516,1758,27,True
253,978,20,True
164,641,17,True
169,611,12,True
187,640,15,True
173,612,11,True
173,624,12,True
168,608,13,True
174,607,14,True
173,629,12,True
184,643,14,True
184,601,14,True
161,602,11,True
176,611,9,True
175,604,12,True
191,820,17,True
158,612,13,True
169,626,13,True
171,622,13,True
154,606,13,True
151,603,13,True
167,643,14,True
159,615,14,True
194,688,16,True
168,647,14,True
167,627,13,True
164,609,12,True
181,610,14,True
171,613,15,True
155,602,14,True
166,616,13,True
182,630,13,True
181,631,13,True
167,610,12,True
166,619,14,True
174,631,11,True
170,603,12,True
192,627,13,True
179,617,11,True
178,646,14,True
165,653,13,True
161,623,13,True
171,613,13,True
175,622,13,True
167,614,13,True
169,637,16,True
134,654,13,True
157,602,18,True
187,770,16,True
162,621,14,True
178,617,11,True
161,631,14,True
175,612,13,True
178,628,15,True
215,803,18,True
409,1442,27,True
168,627,14,True
175,636,13,True
170,620,14,True
176,647,15,True
163,603,14,True
293,945,18,True
213,741,15,True
275,1023,23,True
150,610,14,True
186,630,15,True
177,642,14,True
168,606,13,True
169,611,14,True
166,636,15,True
167,618,14,True
161,633,13,True
157,612,12,True
182,607,11,True
193,664,13,True
207,707,16,True
176,693,14,True
274,1032,21,True
119,616,13,False
152,617,17,True
180,621,11,True
194,632,13,True
185,613,13,True
170,634,13,True
167,622,13,True
173,624,11,True
165,611,11,True
303,1097,19,True
306,1112,24,True
304,1073,20,True
289,1060,20,True
139,700,16,True
165,657,11,True
172,606,13,True
185,657,13,True
171,629,16,True
172,621,14,True
181,605,12,True
283,992,17,True
276,888,16,True
152,624,13,True
159,638,10,True
158,637,10,True
174,645,10,True
178,625,11,True
288,1090,23,True
348,1318,21,True
377,1308,27,True
167,636,12,True
175,622,13,True
186,603,13,True
195,634,12,True
423,1574,27,True
467,1604,35,True
215,767,18,True
177,603,14,True
181,650,14,True
164,624,13,True
175,629,14,True
255,943,16,True
154,622,16,True
173,610,12,True
175,637,11,True
171,628,10,True
175,635,11,True
187,647,14,True
165,613,13,True
182,632,13,True
173,627,14,True
180,638,14,True
168,605,14,True
176,610,12,True
201,666,15,True
156,655,13,True
181,661,12,True
186,640,11,True
171,617,11,True
175,622,12,True
193,841,17,True
301,1048,20,True
163,650,13,True
207,755,12,True
162,621,10,True
165,651,10,True
201,647,13,True
208,737,14,True
174,610,15,True
185,611,13,True
164,610,12,True
187,665,12,True
202,648,16,True
241,904,17,True
170,618,12,True
176,630,15,True
179,606,15,True
175,614,14,True
145,638,13,True
202,789,16,True
201,764,18,True
169,622,14,True
180,613,15,True
173,631,14,True
168,610,13,True
185,604,14,True
170,635,11,True
177,649,12,True
187,642,11,True
190,652,14,True
214,663,14,True
180,621,10,True
236,811,15,True
253,877,16,True
191,830,20,True
331,1091,20,True
190,645,12,True
169,617,15,True
177,652,14,True
172,624,11,True
179,667,15,True
166,639,11,True
172,650,11,True
245,1086,20,True
181,668,13,True
158,603,13,True
173,615,15,True
170,610,14,True
173,614,13,True
185,627,11,True
184,637,12,True
175,636,11,True
173,607,11,True
189,669,12,True
174,643,11,True
344,1237,22,True
308,1024,21,True
217,773,14,True
150,635,13,True
170,641,10,True
176,630,11,True
190,649,14,True
178,608,10,True
388,1361,27,True
453,1601,37,True
209,820,18,True
195,669,13,True
172,625,11,True
190,620,11,True
182,620,11,True
186,650,13,True
188,653,13,True
193,651,15,True
177,636,10,True
196,649,13,True
167,617,11,True
177,646,15,True
162,608,15,True
171,609,15,True
173,640,14,True
246,985,20,True
285,999,24,True
174,630,16,True
124,614,11,False
284,1056,27,True
178,721,13,True
404,1443,30,True
203,757,18,True
293,1138,21,True
279,1008,24,True
194,760,14,True
194,678,15,True
151,612,15,True
159,625,13,True
164,603,13,True
180,652,15,True
140,619,15,True
230,811,18,True
168,659,13,True
236,913,14,True
145,608,16,True
223,855,16,True
161,628,12,True
152,609,13,True
175,646,16,True
449,1593,37,True
298,1114,24,True
175,616,14,True
229,899,18,True
177,646,15,True
186,636,13,True
164,627,13,True
175,642,13,True
176,624,15,True
168,612,13,True
185,644,15,True
177,614,14,True
189,634,15,True
184,654,15,True
188,641,15,True
170,606,15,True
