n_tokens,n_chars,n_lines,valid_chunk
190,631,14,True
196,648,14,True
182,624,14,True
193,669,14,True
215,674,14,True
180,604,14,True
188,648,14,True
192,639,14,True
208,647,14,True
195,641,14,True
182,629,14,True
179,636,14,True
189,613,14,True
188,653,14,True
182,637,14,True
190,645,14,True
183,634,14,True
183,613,14,True
269,903,21,True
200,647,14,True
191,630,14,True
183,628,14,True
200,646,14,True
171,635,14,True
189,633,14,True
173,625,14,True
190,638,16,True
167,602,13,True
171,607,16,True
175,628,15,True
188,624,16,True
173,623,16,True
176,620,14,True
181,623,15,True
165,616,13,True
165,605,14,True
172,654,12,True
181,620,13,True
170,637,11,True
166,629,11,True
169,622,10,True
160,657,11,True
169,652,10,True
168,611,10,True
158,601,9,True
167,651,11,True
158,611,9,True
156,608,10,True
155,614,10,True
253,991,15,True
163,614,14,True
168,613,14,True
181,613,16,True
172,618,15,True
168,615,15,True
175,638,15,True
181,639,14,True
168,615,14,True
170,617,14,True
166,664,16,True
180,620,15,True
185,629,15,True
162,608,15,True
179,609,16,True
189,623,15,True
181,625,15,True
169,640,15,True
164,606,15,True
178,604,15,True
271,860,16,True
151,608,9,True
171,642,10,True
179,610,13,True
172,634,10,True
187,622,10,True
182,646,11,True
169,627,12,True
185,624,12,True
171,604,10,True
164,603,11,True
174,621,12,True
171,615,11,True
177,635,14,True
162,604,9,True
171,634,14,True
174,630,16,True
391,1342,29,True
374,1304,20,True
141,606,13,True
179,627,17,True
173,623,15,True
163,625,14,True
171,641,14,True
163,611,15,True
169,612,15,True
176,602,15,True
175,619,13,True
183,626,15,True
167,606,16,True
178,640,13,True
174,606,13,True
171,627,13,True
180,629,13,True
167,605,16,True
180,636,15,True
170,604,16,True
176,650,16,True
183,604,14,True
192,633,14,True
279,972,17,True
219,760,18,True
284,1021,23,True
197,664,14,True
169,639,12,True
208,655,13,True
200,637,12,True
295,998,21,True
181,621,11,True
186,607,10,True
172,623,10,True
198,714,16,True
172,629,15,True
190,633,15,True
182,624,14,True
205,637,14,True
192,649,14,True
187,601,14,True
169,606,15,True
195,639,15,True
176,620,13,True
172,625,14,True
180,637,14,True
179,613,15,True
194,652,15,True
182,639,15,True
177,635,12,True
189,602,12,True
184,629,11,True
180,609,10,True
201,661,13,True
191,623,12,True
207,660,10,True
192,642,10,True
261,787,18,True
171,647,14,True
163,631,10,True
165,630,10,True
144,611,9,True
170,660,10,True
445,1538,32,True
208,610,13,True
184,664,11,True
208,653,10,True
187,612,11,True
192,636,10,True
312,1054,16,True
187,652,13,True
165,633,12,True
187,642,14,True
169,609,13,True
177,621,15,True
161,609,14,True
172,631,14,True
187,636,15,True
184,626,13,True
179,645,13,True
177,633,13,True
441,1655,40,True
262,908,20,True
162,621,15,True
174,627,14,True
180,646,14,True
183,642,15,True
161,601,13,True
189,637,16,True
166,607,13,True
167,632,14,True
164,609,10,True
160,603,15,True
329,1141,27,True
212,743,17,True
210,619,12,True
160,613,13,True
166,623,13,True
179,641,14,True
170,613,14,True
173,601,13,True
179,631,13,True
174,612,16,True
168,604,12,True
189,646,15,True
202,642,16,True
179,627,15,True
169,612,15,True
178,643,16,True
169,607,14,True
383,1282,28,True
169,614,15,True
163,602,14,True
178,623,14,True
225,799,21,True
170,623,15,True
160,647,16,True
185,633,14,True
176,631,15,True
183,613,14,True
185,621,14,True
192,627,15,True
175,625,13,True
173,630,13,True
173,626,15,True
174,619,14,True
197,618,14,True
182,626,14,True
182,607,15,True
193,643,14,True
622,1765,43,True
231,696,13,True
182,645,13,True
168,609,14,True
183,635,14,True
181,645,15,True
180,630,16,True
179,648,14,True
174,603,14,True
172,618,15,True
174,626,14,True
185,614,15,True
187,631,14,True
188,649,15,True
176,627,14,True
198,639,15,True
181,629,14,True
176,618,14,True
178,603,14,True
192,624,14,True
186,609,15,True
190,601,14,True
200,636,14,True
186,632,12,True
202,655,14,True
193,630,15,True
206,634,14,True
187,644,16,True
202,639,13,True
207,603,14,True
179,616,13,True
183,627,14,True
186,609,15,True
182,611,15,True
180,612,15,True
196,630,15,True
189,623,14,True
170,617,13,True
196,614,15,True
174,650,15,True
164,634,12,True
149,611,10,True
166,607,11,True
289,983,18,True
223,760,25,True
167,617,14,True
185,628,13,True
167,615,13,True
166,614,14,True
171,618,13,True
166,625,14,True
186,612,13,True
178,622,14,True
173,637,14,True
169,610,14,True
174,619,13,True
174,606,12,True
231,893,19,True
212,731,15,True
350,1317,29,True
425,1395,30,True
181,700,19,True
269,864,18,True
187,639,13,True
189,658,14,True
157,609,13,True
194,631,14,True
174,611,14,True
177,638,14,True
175,602,14,True
157,602,13,True
166,620,13,True
179,609,16,True
168,628,13,True
178,612,12,True
183,657,12,True
202,659,10,True
175,601,9,True
180,656,12,True
178,619,15,True
164,614,14,True
170,642,14,True
176,609,16,True
160,608,13,True
178,611,13,True
180,624,14,True
177,640,14,True
383,1301,29,True
149,624,17,True
