n_tokens,n_chars,n_lines,valid_chunk
192,643,15,True
188,662,15,True
183,643,15,True
183,619,15,True
176,652,15,True
187,646,15,True
176,615,15,True
192,678,15,True
190,653,15,True
181,652,15,True
198,713,15,True
192,659,15,True
177,639,15,True
183,625,15,True
180,649,15,True
167,634,15,True
188,679,15,True
186,658,15,True
204,664,15,True
193,679,15,True
191,648,15,True
186,629,15,True
192,655,15,True
194,676,15,True
170,619,15,True
181,636,15,True
190,627,15,True
185,665,15,True
195,669,15,True
195,647,15,True
182,635,15,True
196,665,15,True
190,649,15,True
193,669,15,True
182,620,15,True
173,633,15,True
188,619,15,True
180,652,15,True
176,650,15,True
190,668,15,True
182,642,15,True
195,662,15,True
183,678,15,True
181,663,15,True
176,629,15,True
189,643,15,True
183,662,15,True
180,638,15,True
179,641,15,True
178,635,15,True
190,660,15,True
175,638,15,True
172,615,15,True
195,657,15,True
187,651,15,True
193,656,15,True
176,646,15,True
179,642,15,True
168,623,15,True
198,651,15,True
181,636,15,True
192,607,15,True
185,645,15,True
186,635,15,True
188,659,15,True
173,602,15,True
176,628,15,True
182,610,15,True
186,700,15,True
181,641,15,True
184,632,15,True
178,634,15,True
201,673,15,True
178,627,15,True
185,626,15,True
175,612,15,True
182,657,15,True
177,610,15,True
176,630,15,True
187,629,15,True
186,662,15,True
187,645,15,True
179,641,15,True
178,648,15,True
184,671,15,True
179,639,15,True
191,664,15,True
179,630,15,True
180,644,15,True
192,642,15,True
189,666,15,True
181,618,15,True
192,665,15,True
188,650,15,True
187,650,15,True
187,662,15,True
191,644,15,True
193,651,15,True
212,702,16,True
195,654,15,True
194,625,15,True
195,674,15,True
175,626,15,True
188,673,15,True
185,625,15,True
182,632,15,True
201,668,15,True
189,649,15,True
185,629,15,True
186,641,15,True
178,629,15,True
190,634,15,True
196,644,15,True
188,645,15,True
192,671,15,True
185,615,15,True
186,634,15,True
191,639,15,True
185,649,15,True
191,645,15,True
185,649,15,True
175,602,15,True
185,633,15,True
190,653,15,True
194,621,15,True
167,571,13,True
183,647,15,True
182,654,15,True
190,626,15,True
184,642,15,True
179,647,15,True
168,627,15,True
202,662,15,True
193,626,15,True
182,635,15,True
198,659,15,True
189,674,15,True
187,652,15,True
191,665,15,True
184,649,15,True
187,652,15,True
196,648,15,True
182,660,15,True
176,608,15,True
164,541,15,True
195,639,15,True
184,632,15,True
200,662,15,True
186,612,15,True
177,640,15,True
180,642,15,True
192,666,15,True
189,644,15,True
307,977,30,True
241,962,26,True
268,954,16,True
289,1000,18,True
254,963,16,True
266,969,21,True
269,991,20,True
121,421,9,False
2,14,1,False
283,964,21,True
268,980,16,True
293,1010,16,True
304,1015,20,True
149,506,12,True
2,10,1,False
275,1000,20,True
250,974,19,True
56,202,4,False
296,997,28,True
8,34,1,False
273,977,21,True
275,982,22,True
292,997,22,True
60,228,5,False
29,81,4,False
276,966,17,True
289,1015,19,True
272,928,15,True
224,897,22,True
300,1014,17,True
279,1009,16,True
131,477,8,True
2,12,1,False
298,1018,23,True
294,974,23,True
302,1006,21,True
289,990,24,True
266,980,22,True
274,980,23,True
291,1010,22,True
136,671,14,True
283,1014,22,True
269,962,20,True
215,720,14,True
180,688,15,True
311,971,23,True
237,795,18,True
7,26,1,False
289,1013,23,True
281,995,22,True
282,1017,21,True
285,1009,23,True
294,1016,23,True
291,1004,22,True
48,205,4,False
24,72,4,False
289,977,16,True
311,1016,18,True
316,988,19,True
126,473,9,False
24,77,4,False
316,1002,21,True
264,852,19,True
195,681,15,True
272,987,21,True
298,1019,22,True
298,995,19,True
294,1017,22,True
278,966,21,True
283,1001,21,True
280,1016,23,True
279,994,20,True
284,971,17,True
280,956,16,True
96,320,5,False
5,14,1,False
283,987,18,True
49,204,4,False
2,13,1,False
320,1016,23,True
227,785,16,True
193,663,17,True
295,989,18,True
285,989,22,True
49,238,5,False
200,730,18,True
297,983,21,True
261,933,17,True
2,12,1,False
259,998,22,True
283,981,24,True
85,359,7,False
137,659,14,True
270,1020,25,True
60,239,5,False
24,73,4,False
282,1002,18,True
174,670,12,True
174,630,14,True
287,1018,21,True
280,990,22,True
274,1001,23,True
290,1015,21,True
193,661,14,True
232,801,25,True
277,982,20,True
270,985,22,True
78,296,6,False
51,162,5,False
278,966,17,True
136,511,8,True
8,38,1,False
284,1010,23,True
300,1008,25,True
126,432,11,False
21,93,2,False
306,992,24,True
139,501,11,True
23,79,4,False
274,974,17,True
269,1014,16,True
2,14,1,False
298,1016,19,True
287,1017,18,True
269,986,17,True
297,996,19,True
53,187,4,False
25,69,4,False
278,1002,23,True
279,1003,23,True
148,532,12,True
123,611,13,False
274,981,16,True
60,206,3,False
2,14,1,False
289,1018,17,True
