n_tokens,n_chars,n_lines
179,643,15
185,662,15
174,643,15
176,619,15
169,652,15
185,646,15
179,615,15
193,678,15
193,653,15
174,652,15
194,713,15
188,659,15
176,639,15
181,625,15
176,649,15
164,634,15
188,679,15
186,658,15
194,664,15
192,679,15
191,648,15
186,629,15
187,655,15
195,676,15
164,619,15
179,636,15
188,627,15
186,665,15
191,669,15
189,647,15
175,635,15
197,665,15
188,649,15
189,669,15
180,620,15
178,633,15
186,619,15
174,652,15
177,650,15
183,668,15
178,642,15
195,662,15
186,678,15
177,663,15
177,629,15
188,643,15
183,662,15
184,638,15
178,641,15
179,635,15
186,660,15
173,638,15
169,615,15
193,657,15
184,651,15
188,656,15
178,646,15
175,642,15
172,623,15
194,651,15
178,636,15
185,607,15
185,645,15
181,635,15
183,659,15
168,602,15
165,628,15
175,610,15
183,700,15
175,641,15
178,632,15
173,634,15
199,673,15
176,627,15
181,626,15
177,612,15
174,657,15
174,610,15
174,630,15
184,629,15
181,662,15
182,645,15
178,641,15
179,648,15
193,671,15
182,639,15
188,664,15
177,630,15
180,644,15
192,642,15
187,666,15
176,618,15
186,665,15
187,650,15
189,650,15
183,662,15
185,644,15
189,651,15
204,702,16
181,654,15
184,625,15
189,674,15
168,626,15
186,673,15
177,625,15
176,632,15
189,668,15
184,649,15
177,629,15
186,641,15
175,629,15
182,634,15
191,644,15
190,645,15
191,671,15
185,615,15
179,634,15
192,639,15
182,649,15
181,645,15
178,649,15
169,602,15
184,633,15
184,653,15
179,621,15
161,571,13
179,647,15
174,654,15
181,626,15
187,642,15
174,647,15
166,627,15
197,662,15
185,626,15
180,635,15
191,659,15
187,674,15
187,652,15
181,665,15
183,649,15
185,652,15
193,648,15
176,660,15
172,608,15
163,541,15
181,639,15
177,632,15
203,662,15
181,612,15
182,640,15
177,642,15
189,666,15
186,644,15
292,977,30
188,636,22
327,996,25
322,962,26
262,954,16
261,959,16
261,983,17
273,1005,17
269,987,17
271,987,17
276,978,17
288,1003,18
279,1005,18
272,1005,18
263,976,17
260,989,17
253,987,17
252,969,17
257,995,17
254,1000,18
250,975,18
255,985,19
264,993,19
