n_tokens,n_chars,n_lines
183,631,14
180,648,14
171,624,14
180,669,14
195,674,14
168,604,14
174,648,14
173,639,14
186,647,14
177,641,14
171,629,14
171,636,14
170,613,14
172,653,14
174,637,14
174,645,14
174,634,14
171,613,14
253,903,21
189,647,14
172,630,14
166,628,14
181,646,14
166,635,14
186,633,14
169,625,14
186,638,16
156,602,13
172,607,16
173,628,15
183,624,16
171,623,16
168,620,14
171,623,15
156,616,13
159,605,14
174,654,12
182,620,13
172,637,11
167,629,11
165,622,10
151,657,11
160,652,10
162,611,10
154,601,9
163,651,11
154,611,9
152,608,10
152,614,10
248,991,15
158,614,14
163,613,14
174,613,16
170,618,15
164,615,15
170,638,15
176,639,14
163,615,14
165,617,14
169,664,16
176,620,15
175,629,15
158,608,15
173,609,16
181,623,15
172,625,15
168,640,15
161,606,15
176,604,15
187,860,16
150,608,9
170,642,10
181,610,13
171,634,10
178,622,10
179,646,11
169,627,12
181,624,12
162,604,10
163,603,11
175,621,12
173,615,11
179,635,14
156,604,9
165,634,14
171,630,16
379,1342,29
366,1304,20
138,606,13
174,627,17
165,623,15
158,625,14
164,641,14
161,611,15
162,612,15
167,602,15
169,619,13
177,626,15
166,606,16
171,640,13
170,606,13
164,627,13
172,629,13
168,605,16
172,636,15
169,604,16
173,650,16
176,604,14
177,633,14
270,972,17
209,760,18
272,1021,23
190,664,14
173,639,12
199,655,13
189,637,12
282,998,21
171,621,11
170,607,10
166,623,10
192,714,16
165,629,15
183,633,15
176,624,14
192,637,14
181,649,14
177,601,14
161,606,15
189,639,15
175,620,13
164,625,14
178,637,14
167,613,15
183,652,15
172,639,15
173,635,12
185,602,12
176,629,11
176,609,10
197,661,13
186,623,12
198,660,10
181,642,10
218,787,18
150,647,14
159,631,10
163,630,10
146,611,9
170,660,10
426,1538,32
182,664,11
203,653,10
182,612,11
189,636,10
307,1054,16
182,652,13
158,633,12
179,642,14
163,609,13
179,621,15
157,609,14
170,631,14
183,636,15
176,626,13
170,645,13
165,633,13
428,1655,40
256,908,20
156,621,15
172,627,14
175,646,14
178,642,15
162,601,13
180,637,16
162,607,13
162,632,14
151,609,10
156,603,15
322,1141,27
197,743,17
158,613,13
166,623,13
173,641,14
165,613,14
169,601,13
176,631,13
170,612,16
167,604,12
184,646,15
199,642,16
176,627,15
165,612,15
174,643,16
164,607,14
367,1282,28
165,614,15
161,602,14
174,623,14
223,799,21
163,623,15
159,647,16
175,633,14
170,631,15
170,613,14
183,621,14
187,627,15
169,625,13
168,630,13
167,626,15
167,619,14
180,618,14
170,626,14
177,607,15
184,643,14
535,1765,43
141,696,13
176,645,13
163,609,14
174,635,14
179,645,15
177,630,16
175,648,14
169,603,14
169,618,15
169,626,14
181,614,15
178,631,14
177,649,15
166,627,14
191,639,15
173,629,14
171,618,14
163,603,14
179,624,14
163,609,15
178,601,14
182,636,14
179,632,12
196,655,14
183,630,15
182,634,14
179,644,16
189,639,13
187,603,14
168,616,13
175,627,14
182,609,15
172,611,15
177,612,15
188,630,15
183,623,14
168,617,13
188,614,15
158,650,15
165,634,12
141,611,10
156,607,11
202,983,18
202,760,25
164,617,14
176,628,13
162,615,13
165,614,14
170,618,13
166,625,14
185,612,13
169,622,14
171,637,14
164,610,14
170,619,13
171,606,12
225,893,19
200,731,15
348,1317,29
418,1395,30
175,700,19
182,864,18
182,639,13
185,658,14
152,609,13
185,631,14
171,611,14
175,638,14
169,602,14
156,602,13
162,620,13
173,609,16
163,628,13
175,612,12
179,657,12
190,659,10
170,601,9
176,656,12
169,619,15
159,614,14
168,642,14
174,609,16
158,608,13
173,611,13
177,624,14
177,640,14
375,1301,29
148,624,17
316,1056,23
177,686,15
157,607,13
178,645,14
180,664,14
178,642,13
164,612,15
183,634,14
162,623,13
169,629,14
170,652,14
153,602,13
158,618,13
175,644,14
191,740,16
184,654,16
179,629,12
178,626,11
188,614,13
185,637,15
194,611,15
186,602,13
188,665,11
175,647,11
166,628,13
167,627,13
181,662,13
169,605,15
195,634,18
164,608,14
158,609,13
163,652,13
167,627,12
179,636,13
170,632,13
181,625,13
166,620,13
174,627,13
159,627,13
154,606,13
155,602,13
154,606,13
153,611,13
159,742,14
164,617,13
158,614,13
188,646,13
164,626,13
177,634,14
173,648,13
171,623,15
152,608,13
171,623,14
168,617,13
175,643,14
189,622,13
187,619,16
164,620,12
172,621,15
160,636,14
169,604,13
170,629,14
169,645,14
168,620,14
172,628,13
241,942,20
155,654,12
165,634,12
166,609,13
158,608,13
489,1689,40
151,605,14
357,1224,24
516,1758,27
253,978,20
164,641,17
169,611,12
187,640,15
173,612,11
173,624,12
168,608,13
174,607,14
173,629,12
184,643,14
184,601,14
161,602,11
176,611,9
175,604,12
191,820,17
158,612,13
169,626,13
171,622,13
154,606,13
151,603,13
167,643,14
159,615,14
194,688,16
168,647,14
167,627,13
164,609,12
181,610,14
171,613,15
155,602,14
166,616,13
182,630,13
181,631,13
167,610,12
166,619,14
174,631,11
170,603,12
192,627,13
179,617,11
178,646,14
165,653,13
161,623,13
171,613,13
175,622,13
167,614,13
169,637,16
134,654,13
157,602,18
187,770,16
162,621,14
178,617,11
161,631,14
175,612,13
178,628,15
215,803,18
409,1442,27
168,627,14
175,636,13
170,620,14
176,647,15
163,603,14
293,945,18
213,741,15
275,1023,23
150,610,14
186,630,15
177,642,14
168,606,13
169,611,14
166,636,15
167,618,14
161,633,13
157,612,12
182,607,11
193,664,13
207,707,16
176,693,14
274,1032,21
152,617,17
180,621,11
194,632,13
185,613,13
170,634,13
167,622,13
173,624,11
165,611,11
303,1097,19
306,1112,24
304,1073,20
289,1060,20
139,700,16
165,657,11
172,606,13
185,657,13
171,629,16
172,621,14
181,605,12
283,992,17
276,888,16
152,624,13
159,638,10
158,637,10
174,645,10
178,625,11
288,1090,23
348,1318,21
377,1308,27
167,636,12
175,622,13
186,603,13
195,634,12
423,1574,27
467,1604,35
215,767,18
177,603,14
181,650,14
164,624,13
175,629,14
255,943,16
154,622,16
173,610,12
175,637,11
171,628,10
175,635,11
187,647,14
165,613,13
182,632,13
173,627,14
180,638,14
168,605,14
176,610,12
201,666,15
156,655,13
181,661,12
186,640,11
171,617,11
175,622,12
193,841,17
301,1048,20
163,650,13
207,755,12
162,621,10
165,651,10
201,647,13
208,737,14
174,610,15
185,611,13
164,610,12
187,665,12
202,648,16
241,904,17
170,618,12
176,630,15
179,606,15
175,614,14
145,638,13
202,789,16
201,764,18
169,622,14
180,613,15
173,631,14
168,610,13
185,604,14
170,635,11
177,649,12
187,642,11
190,652,14
214,663,14
180,621,10
236,811,15
253,877,16
191,830,20
331,1091,20
190,645,12
169,617,15
177,652,14
172,624,11
179,667,15
166,639,11
172,650,11
245,1086,20
181,668,13
158,603,13
173,615,15
170,610,14
173,614,13
185,627,11
184,637,12
175,636,11
173,607,11
189,669,12
174,643,11
344,1237,22
308,1024,21
217,773,14
150,635,13
170,641,10
176,630,11
190,649,14
178,608,10
388,1361,27
453,1601,37
209,820,18
195,669,13
172,625,11
190,620,11
182,620,11
186,650,13
188,653,13
193,651,15
177,636,10
196,649,13
167,617,11
177,646,15
162,608,15
171,609,15
173,640,14
246,985,20
285,999,24
174,630,16
284,1056,27
178,721,13
404,1443,30
203,757,18
293,1138,21
279,1008,24
194,760,14
194,678,15
151,612,15
159,625,13
164,603,13
180,652,15
140,619,15
230,811,18
168,659,13
236,913,14
145,608,16
223,855,16
161,628,12
152,609,13
175,646,16
449,1593,37
298,1114,24
175,616,14
229,899,18
177,646,15
186,636,13
164,627,13
175,642,13
176,624,15
168,612,13
185,644,15
177,614,14
189,634,15
184,654,15
188,641,15
170,606,15
184,616,15
180,677,18
453,1770,34
187,638,17
185,612,9
171,652,11
190,625,13
197,628,12
209,744,15
128,660,12
167,602,14
158,635,13
176,646,15
168,602,13
183,638,14
162,601,14
169,623,14
176,647,13
176,625,13
172,638,13
168,628,13
164,634,14
164,614,14
180,624,14
154,622,14
156,604,12
308,1192,27
154,642,13
159,615,13
204,657,15
164,628,14
164,619,14
169,643,14
166,647,14
156,611,12
184,651,14
175,628,14
170,641,14
164,619,14
179,640,15
177,630,14
174,633,13
165,627,14
165,606,13
211,794,18
172,666,16
427,1499,32
259,970,21
204,683,13
359,1271,26
304,1083,25
144,614,15
169,623,13
158,611,13
164,650,15
169,614,13
166,631,14
171,624,14
154,608,11
173,602,16
168,631,13
181,652,10
169,633,14
169,626,14
172,641,14
155,623,13
167,602,15
150,603,13
161,615,13
170,609,13
172,604,13
170,638,14
161,611,13
164,641,14
166,624,15
166,613,13
153,625,14
166,604,13
150,612,12
162,631,14
165,615,13
162,616,13
173,654,14
182,635,13
181,628,14
161,611,14
174,631,13
171,611,14
180,624,13
184,647,13
162,632,11
162,629,10
155,633,11
179,614,12
186,604,10
197,745,13
310,1129,25
426,1562,29
204,730,19
201,644,13
183,604,15
186,631,12
184,614,14
494,1739,38
154,617,12
169,612,14
171,603,13
179,630,15
192,617,13
190,611,14
167,609,14
171,636,14
174,646,13
163,618,12
152,622,12
159,618,13
163,636,14
336,1248,25
463,1767,36
191,712,13
323,1190,18
143,633,15
148,608,14
158,601,13
166,627,14
170,634,14
163,642,14
161,602,14
155,613,14
169,638,13
170,617,14
172,620,13
159,617,12
161,626,14
172,642,14
166,644,13
173,635,14
165,602,13
178,619,14
164,607,13
164,605,11
184,620,15
177,614,12
182,635,14
169,601,12
186,643,13
173,662,13
223,927,20
168,638,13
166,621,13
158,648,14
168,638,14
158,605,13
171,618,16
156,630,13
176,622,13
163,608,13
154,652,13
160,611,14
164,616,12
163,640,16
153,626,15
167,621,13
160,605,13
172,616,13
185,636,13
156,607,14
168,639,14
157,618,14
169,620,13
167,601,13
161,620,13
169,635,13
167,630,13
162,606,13
170,650,14
157,610,13
321,1204,25
427,1479,27
156,619,14
202,681,12
205,728,15
216,684,13
199,708,16
163,627,12
182,616,11
180,621,15
173,620,12
176,630,13
156,601,11
170,616,14
182,617,14
183,655,13
183,641,12
485,1797,37
188,698,14
164,615,16
181,651,13
192,627,13
181,635,13
192,656,13
165,618,11
173,608,12
174,603,12
201,921,18
399,1441,31
167,704,27
320,1222,27
182,638,22
171,636,13
159,615,12
166,614,13
160,619,13
174,605,13
163,619,13
163,622,13
167,665,14
151,608,11
175,633,12
161,614,13
254,1018,20
204,829,17
142,621,14
163,626,13
157,602,12
202,765,15
162,640,13
418,1558,32
154,608,13
167,603,13
166,614,13
172,646,14
172,623,13
168,614,13
159,606,13
161,620,13
225,862,19
168,643,14
148,602,14
164,632,13
169,618,13
170,627,13
174,620,12
170,623,13
170,634,13
180,651,13
171,608,13
179,642,13
241,926,19
224,1016,20
146,614,12
158,618,13
159,629,13
155,634,14
291,1148,22
162,607,13
173,648,14
171,613,13
178,644,14
185,653,13
176,619,11
173,621,12
190,633,13
180,617,13
182,622,13
154,609,13
180,640,14
296,1060,23
147,620,13
166,612,13
186,652,14
166,644,13
162,609,12
173,647,14
168,607,12
183,639,14
180,607,14
187,655,14
153,610,12
170,636,13
193,619,13
199,737,14
172,637,14
183,628,13
172,633,13
169,601,13
154,604,12
160,611,12
193,644,14
182,610,13
164,611,12
166,604,13
168,618,14
171,613,14
176,617,14
168,634,12
182,634,13
168,617,13
158,631,13
165,636,15
165,625,13
163,615,13
176,632,14
148,616,12
166,654,14
170,614,13
157,610,12
170,625,13
155,615,12
173,602,13
163,621,13
160,604,13
177,647,13
160,621,13
161,629,13
158,601,13
165,611,13
169,634,13
169,618,14
447,1767,37
307,1204,24
154,751,14
161,607,12
173,606,13
166,618,13
162,621,11
159,618,12
153,603,13
170,621,13
165,628,14
149,605,12
161,620,13
155,604,12
164,608,13
172,624,13
162,621,12
198,782,15
159,629,13
171,633,13
174,625,13
172,621,12
173,645,13
159,642,12
157,633,14
170,649,13
154,614,13
164,616,13
172,625,13
154,611,14
166,609,14
163,616,13
144,610,13
260,991,21
183,682,15
165,611,13
159,641,14
163,611,14
180,635,14
179,639,15
165,625,14
164,631,14
176,636,13
314,1135,25
235,1039,21
164,615,13
175,636,13
171,647,14
166,640,14
163,626,14
164,641,14
182,638,13
171,609,12
172,617,13
164,625,13
159,607,12
164,609,13
157,629,13
156,606,13
168,640,13
159,617,12
157,614,13
168,625,13
153,634,12
167,636,13
160,611,13
151,607,13
165,634,14
161,626,13
155,609,13
172,646,14
169,691,14
157,602,13
204,792,16
159,611,13
169,635,13
170,627,14
169,642,14
152,623,13
217,881,17
144,612,13
149,625,13
149,611,13
164,627,14
192,779,17
224,1088,22
193,722,29
219,863,17
158,647,16
167,645,15
157,618,14
159,623,14
153,610,15
147,609,12
162,605,13
157,619,14
162,646,16
157,611,13
165,629,12
161,613,14
177,650,15
163,610,14
162,601,13
152,643,14
202,765,18
165,642,14
