n_tokens,n_chars,n_lines
173,643,15
180,662,15
170,643,15
166,619,15
164,652,15
177,646,15
165,615,15
179,678,15
185,653,15
175,652,15
189,713,15
177,659,15
165,639,15
171,625,15
167,649,15
160,634,15
183,679,15
177,658,15
182,664,15
187,679,15
184,648,15
179,629,15
181,655,15
184,676,15
163,619,15
175,636,15
176,627,15
180,665,15
184,669,15
184,647,15
171,635,15
182,665,15
172,649,15
182,669,15
169,620,15
169,633,15
179,619,15
169,652,15
171,650,15
182,668,15
174,642,15
191,662,15
179,678,15
172,663,15
170,629,15
182,643,15
181,662,15
173,638,15
166,641,15
173,635,15
180,660,15
168,638,15
166,615,15
183,657,15
169,651,15
182,656,15
174,646,15
171,642,15
160,623,15
179,651,15
174,636,15
182,607,15
178,645,15
171,635,15
177,659,15
158,602,15
161,628,15
167,610,15
180,700,15
170,641,15
174,632,15
170,634,15
191,673,15
170,627,15
175,626,15
169,612,15
170,657,15
166,610,15
169,630,15
177,629,15
176,662,15
166,645,15
172,641,15
170,648,15
176,671,15
173,639,15
181,664,15
175,630,15
174,644,15
184,642,15
182,666,15
173,618,15
181,665,15
180,650,15
174,650,15
176,662,15
175,644,15
182,651,15
197,702,16
176,654,15
180,625,15
177,674,15
168,626,15
176,673,15
173,625,15
170,632,15
183,668,15
179,649,15
176,629,15
178,641,15
168,629,15
177,634,15
183,644,15
174,645,15
182,671,15
177,615,15
172,634,15
177,639,15
174,649,15
174,645,15
175,649,15
160,602,15
175,633,15
176,653,15
174,621,15
153,571,13
174,647,15
171,654,15
174,626,15
178,642,15
171,647,15
160,627,15
194,662,15
183,626,15
175,635,15
188,659,15
185,674,15
182,652,15
179,665,15
177,649,15
177,652,15
181,648,15
174,660,15
168,608,15
153,541,15
173,639,15
170,632,15
194,662,15
178,612,15
170,640,15
173,642,15
187,666,15
180,644,15
264,977,30
160,636,22
218,996,25
219,962,26
253,954,16
255,959,16
261,983,17
269,1005,17
265,987,17
267,987,17
269,978,17
279,1003,18
277,1005,18
269,1005,18
255,976,17
253,989,17
251,987,17
246,969,17
253,995,17
252,1000,18
247,975,18
255,985,19
259,993,19
269,1005,20
270,998,22
257,967,21
260,968,21
259,1005,20
261,1001,20
268,1013,21
259,990,21
251,981,20
258,993,20
261,998,21
252,927,20
267,964,21
267,992,21
260,985,20
265,1020,20
257,1017,17
261,1015,18
249,978,16
252,1012,16
254,1016,16
255,1006,16
268,1008,16
273,1011,17
277,1016,17
271,1007,16
274,1012,16
276,1012,16
283,1015,16
280,997,17
276,996,18
271,986,18
270,987,19
274,994,20
288,1003,22
291,1016,23
267,961,23
261,1000,20
257,1001,20
256,1009,19
249,977,19
253,1019,19
238,983,18
243,1021,19
235,974,19
234,948,19
275,997,28
250,919,24
261,977,21
261,994,21
260,986,21
256,980,21
255,971,21
262,995,22
250,977,22
255,987,22
259,988,22
260,975,22
258,978,22
255,987,22
260,994,22
271,1013,23
275,986,22
279,993,22
274,978,22
260,952,21
263,966,17
272,976,17
284,1000,18
287,1001,18
283,978,18
286,1010,18
285,1010,19
277,992,18
266,951,17
274,993,17
275,1007,17
281,1022,17
278,1005,17
265,946,16
217,897,22
285,1014,17
276,997,17
275,993,17
272,987,17
272,1010,17
264,1009,17
264,1006,17
260,1009,16
259,1002,16
263,1017,16
249,1014,16
291,1018,23
293,1010,23
297,1004,24
298,1021,25
295,1009,24
294,1015,24
279,975,23
285,974,23
289,995,23
291,1002,23
281,1003,22
281,988,21
282,1002,21
275,982,20
284,981,20
285,993,21
282,987,22
281,971,22
287,1014,23
290,1015,24
286,998,24
288,996,24
276,979,24
283,1011,24
277,1011,23
269,989,23
262,982,22
267,1014,22
269,1020,23
259,982,22
254,990,22
257,1001,22
265,1017,23
267,1007,23
266,1007,24
257,980,23
265,1015,23
266,986,23
259,971,23
265,987,23
277,1013,24
274,1006,23
279,1010,22
131,671,14
270,1014,22
259,968,22
262,1017,22
251,988,21
264,1017,21
262,986,20
264,994,20
274,1013,21
277,1005,21
259,919,19
272,960,19
279,982,19
290,1015,19
248,867,17
171,688,15
299,971,23
302,1013,24
297,1000,24
293,996,24
290,1016,23
279,977,22
269,937,21
281,1013,23
278,1018,23
269,989,23
266,992,23
270,1020,23
266,1017,23
257,988,22
263,984,22
270,1018,22
260,974,21
261,987,21
258,1007,21
267,1018,21
263,987,20
267,1017,21
263,1012,21
262,1006,21
262,981,21
273,1012,22
281,1013,22
272,1009,22
271,1002,23
283,1013,23
269,987,22
261,975,22
266,990,22
259,990,22
255,981,22
274,1016,23
266,981,22
257,984,22
265,1012,23
273,1013,23
266,974,22
274,978,22
279,993,22
281,1004,22
265,1001,21
270,977,16
274,960,15
285,989,15
289,991,16
285,1009,17
270,962,17
291,1019,18
287,1016,18
289,998,19
282,976,19
301,1019,20
299,994,19
299,979,18
312,1012,19
305,988,19
300,990,19
295,1010,19
267,956,18
294,1002,21
297,965,21
310,968,22
325,1005,22
310,979,22
308,998,21
300,1003,22
187,681,15
262,987,21
273,996,22
284,1015,23
277,980,23
278,978,22
287,1018,23
280,991,22
289,1008,22
281,993,21
287,1017,21
279,984,20
292,1019,20
284,977,19
289,995,19
295,998,21
290,976,20
294,998,21
290,994,21
289,1012,22
277,979,21
281,1017,22
285,1020,22
281,1008,21
270,984,21
267,977,21
275,985,21
282,1017,22
282,1013,22
279,993,21
282,983,21
278,992,21
279,996,21
277,998,21
268,1008,21
266,1012,21
258,991,21
251,1006,21
260,1013,22
262,1014,23
258,1013,23
266,1016,23
258,984,22
257,1002,22
264,1000,22
262,991,22
259,994,21
264,993,20
269,994,20
266,975,19
280,996,19
276,993,19
266,970,18
266,961,17
277,1010,18
269,971,17
288,1019,18
290,1015,18
290,1010,18
289,997,17
